education_score,coastal_detailed,town_size,coastal_type
-2.824429521,Smaller seaside town,Small,Seaside
2.382700835,Large non-coastal town,Large,Non-coastal
3.926932387,Smaller non-coastal town,Small,Non-coastal
-1.355545101,Smaller non-coastal town,Small,Non-coastal
-0.572072407,Smaller non-coastal town,Small,Non-coastal
-1.978006498,Large non-coastal town,Large,Non-coastal
-0.496324682,Large non-coastal town,Large,Non-coastal
2.405694248,Smaller non-coastal town,Small,Non-coastal
-0.13571104,Smaller non-coastal town,Small,Non-coastal
-6.356277691,Smaller non-coastal town,Small,Non-coastal
-1.851598092,Large non-coastal town,Large,Non-coastal
-3.76077978,Large non-coastal town,Large,Non-coastal
-1.342192217,Smaller non-coastal town,Small,Non-coastal
2.110547111,Smaller non-coastal town,Small,Non-coastal
4.080223424,Large non-coastal town,Large,Non-coastal
-2.189665402,Smaller non-coastal town,Small,Non-coastal
-1.008837714,Large seaside town,Large,Seaside
-3.29543406,Large non-coastal town,Large,Non-coastal
-1.245036256,Large other coastal town,Large,Other coastal
-2.798036346,Smaller other coastal town,Small,Other coastal
0.173554969,Smaller non-coastal town,Small,Non-coastal
1.889118975,Large non-coastal town,Large,Non-coastal
-2.003480579,Large other coastal town,Large,Other coastal
1.627297372,Smaller non-coastal town,Small,Non-coastal
4.45905833,Smaller non-coastal town,Small,Non-coastal
-1.788450725,Smaller non-coastal town,Small,Non-coastal
-4.017804063,Large non-coastal town,Large,Non-coastal
-4.166607118,Smaller non-coastal town,Small,Non-coastal
-1.471898725,Smaller non-coastal town,Small,Non-coastal
3.184527723,Large non-coastal town,Large,Non-coastal
0.944128339,Large non-coastal town,Large,Non-coastal
-3.006915502,Large seaside town,Large,Seaside
-2.474376394,Large non-coastal town,Large,Non-coastal
-9.285628136,Smaller non-coastal town,Small,Non-coastal
-3.625104199,Large other coastal town,Large,Other coastal
2.696693887,Smaller non-coastal town,Small,Non-coastal
2.106567892,Smaller non-coastal town,Small,Non-coastal
2.972648349,Smaller non-coastal town,Small,Non-coastal
8.083936642,Smaller non-coastal town,Small,Non-coastal
-2.019440204,Large non-coastal town,Large,Non-coastal
-4.610811628,Large non-coastal town,Large,Non-coastal
-2.361691643,Large non-coastal town,Large,Non-coastal
-1.57866511,Large non-coastal town,Large,Non-coastal
-0.507146946,Large seaside town,Large,Seaside
6.676941382,Smaller non-coastal town,Small,Non-coastal
-3.537825076,Large non-coastal town,Large,Non-coastal
4.159398797,Smaller non-coastal town,Small,Non-coastal
-0.659305957,Large seaside town,Large,Seaside
-0.240877993,Smaller non-coastal town,Small,Non-coastal
2.057541141,Large non-coastal town,Large,Non-coastal
0.732661067,Smaller non-coastal town,Small,Non-coastal
0.735865707,Large non-coastal town,Large,Non-coastal
6.372935408,Large non-coastal town,Large,Non-coastal
11.87150502,Smaller non-coastal town,Small,Non-coastal
-1.781852104,Cities,Large,Other coastal
0.925170267,Smaller non-coastal town,Small,Non-coastal
2.52457092,Smaller non-coastal town,Small,Non-coastal
-4.738558725,Smaller non-coastal town,Small,Non-coastal
-4.684084881,Large non-coastal town,Large,Non-coastal
-3.595444977,Smaller non-coastal town,Small,Non-coastal
-1.33631924,Large non-coastal town,Large,Non-coastal
-0.032310942,Large seaside town,Large,Seaside
3.32526577,Smaller non-coastal town,Small,Non-coastal
3.94853063,Large non-coastal town,Large,Non-coastal
0.918000858,Smaller non-coastal town,Small,Non-coastal
2.577659281,Large other coastal town,Large,Other coastal
-6.160463498,Smaller seaside town,Small,Seaside
-0.535595687,Smaller other coastal town,Small,Other coastal
-2.212082553,Large non-coastal town,Large,Non-coastal
-6.952849356,Smaller other coastal town,Small,Other coastal
-3.835224167,Large other coastal town,Large,Other coastal
5.573030387,Smaller non-coastal town,Small,Non-coastal
3.527385471,Smaller non-coastal town,Small,Non-coastal
-0.433249073,Smaller non-coastal town,Small,Non-coastal
3.387639399,Smaller non-coastal town,Small,Non-coastal
-1.30866886,Smaller non-coastal town,Small,Non-coastal
3.211539844,Smaller non-coastal town,Small,Non-coastal
-0.025326314,Large seaside town,Large,Seaside
8.094803358,Smaller non-coastal town,Small,Non-coastal
-0.206075117,Smaller non-coastal town,Small,Non-coastal
3.689730382,Smaller non-coastal town,Small,Non-coastal
0.174191612,Large non-coastal town,Large,Non-coastal
-6.484121394,Smaller non-coastal town,Small,Non-coastal
-1.308650056,Large non-coastal town,Large,Non-coastal
-4.869807195,Large other coastal town,Large,Other coastal
-0.256715434,Large non-coastal town,Large,Non-coastal
1.35443212,Smaller non-coastal town,Small,Non-coastal
-0.181175569,Smaller non-coastal town,Small,Non-coastal
1.698740678,Large non-coastal town,Large,Non-coastal
0.566863572,Smaller non-coastal town,Small,Non-coastal
1.918291585,Large non-coastal town,Large,Non-coastal
0.974698793,Large non-coastal town,Large,Non-coastal
1.96719143,Large non-coastal town,Large,Non-coastal
-5.126676349,Smaller non-coastal town,Small,Non-coastal
-3.08185144,Smaller other coastal town,Small,Other coastal
-2.452282148,Smaller non-coastal town,Small,Non-coastal
-3.174883143,Large non-coastal town,Large,Non-coastal
-1.599978013,Large non-coastal town,Large,Non-coastal
2.161715842,Smaller non-coastal town,Small,Non-coastal
-0.488017488,Large non-coastal town,Large,Non-coastal
-1.950557637,Smaller non-coastal town,Small,Non-coastal
-3.772493901,Smaller non-coastal town,Small,Non-coastal
-0.16783077,Large non-coastal town,Large,Non-coastal
2.649834534,Smaller non-coastal town,Small,Non-coastal
0.549953241,Large non-coastal town,Large,Non-coastal
-0.080421657,Large non-coastal town,Large,Non-coastal
2.820617446,Smaller seaside town,Small,Seaside
-2.286163498,Smaller non-coastal town,Small,Non-coastal
-2.281555604,Large seaside town,Large,Seaside
-0.761057801,Large non-coastal town,Large,Non-coastal
3.173359701,Smaller non-coastal town,Small,Non-coastal
-4.082898176,Large non-coastal town,Large,Non-coastal
1.117383847,Large non-coastal town,Large,Non-coastal
-0.854982582,Smaller non-coastal town,Small,Non-coastal
5.397228742,Large non-coastal town,Large,Non-coastal
-5.903708401,Smaller non-coastal town,Small,Non-coastal
3.194589501,Smaller non-coastal town,Small,Non-coastal
-2.174272293,Large non-coastal town,Large,Non-coastal
-0.686227177,Smaller non-coastal town,Small,Non-coastal
-3.370296135,Large non-coastal town,Large,Non-coastal
5.470582132,Smaller non-coastal town,Small,Non-coastal
3.950217044,Smaller non-coastal town,Small,Non-coastal
-10.02801511,Smaller non-coastal town,Small,Non-coastal
-5.934594888,Smaller non-coastal town,Small,Non-coastal
-3.830908388,Large non-coastal town,Large,Non-coastal
-6.855157827,Smaller non-coastal town,Small,Non-coastal
-3.409339525,Large seaside town,Large,Seaside
-4.748883703,Large non-coastal town,Large,Non-coastal
-7.692514402,Smaller non-coastal town,Small,Non-coastal
0.400143569,Smaller seaside town,Small,Seaside
2.11672004,Large non-coastal town,Large,Non-coastal
-0.779019226,Smaller non-coastal town,Small,Non-coastal
-1.490068056,Smaller seaside town,Small,Seaside
3.8292772,Large non-coastal town,Large,Non-coastal
-4.099446778,Smaller non-coastal town,Small,Non-coastal
-1.276549602,Smaller other coastal town,Small,Other coastal
-0.125421126,Large non-coastal town,Large,Non-coastal
2.928140371,Large non-coastal town,Large,Non-coastal
2.678125793,Smaller non-coastal town,Small,Non-coastal
-4.221030255,Smaller non-coastal town,Small,Non-coastal
0.25079604,Large non-coastal town,Large,Non-coastal
-1.049645206,Large non-coastal town,Large,Non-coastal
-3.310271828,Smaller non-coastal town,Small,Non-coastal
-3.291930369,Large non-coastal town,Large,Non-coastal
7.195924607,Large non-coastal town,Large,Non-coastal
4.420683682,Smaller non-coastal town,Small,Non-coastal
6.109889871,Smaller non-coastal town,Small,Non-coastal
0.334593472,Large non-coastal town,Large,Non-coastal
-3.697009155,Smaller non-coastal town,Small,Non-coastal
0.653551126,Smaller non-coastal town,Small,Non-coastal
0.643969199,Smaller non-coastal town,Small,Non-coastal
2.574817445,Large non-coastal town,Large,Non-coastal
-4.902350613,Large non-coastal town,Large,Non-coastal
0.313167691,Large non-coastal town,Large,Non-coastal
-0.471521633,Large non-coastal town,Large,Non-coastal
1.489914038,Large non-coastal town,Large,Non-coastal
0.885540404,Smaller non-coastal town,Small,Non-coastal
-1.876031408,Smaller non-coastal town,Small,Non-coastal
-1.388698309,Large non-coastal town,Large,Non-coastal
-1.529208741,Large non-coastal town,Large,Non-coastal
-2.716984223,Smaller non-coastal town,Small,Non-coastal
0.891824158,Smaller non-coastal town,Small,Non-coastal
7.634311709,Smaller non-coastal town,Small,Non-coastal
-0.604691758,Large seaside town,Large,Seaside
0.877554795,Smaller non-coastal town,Small,Non-coastal
0.26763157,Smaller non-coastal town,Small,Non-coastal
-3.408960683,Large non-coastal town,Large,Non-coastal
5.501626941,Smaller non-coastal town,Small,Non-coastal
0.669429645,Smaller non-coastal town,Small,Non-coastal
-1.195164287,Large non-coastal town,Large,Non-coastal
-4.380328788,Smaller seaside town,Small,Seaside
-4.782945513,Smaller seaside town,Small,Seaside
-3.41080653,Large non-coastal town,Large,Non-coastal
0.498256597,Large seaside town,Large,Seaside
-1.237611184,Large other coastal town,Large,Other coastal
4.850637616,Large non-coastal town,Large,Non-coastal
-7.571466876,Large seaside town,Large,Seaside
5.682268239,Large non-coastal town,Large,Non-coastal
1.928356753,Smaller non-coastal town,Small,Non-coastal
0.608627229,Smaller non-coastal town,Small,Non-coastal
5.469808967,Smaller non-coastal town,Small,Non-coastal
-0.644104316,Large non-coastal town,Large,Non-coastal
-4.96851575,Smaller non-coastal town,Small,Non-coastal
-2.476689795,Smaller non-coastal town,Small,Non-coastal
-3.599286966,Smaller non-coastal town,Small,Non-coastal
-3.565065023,Smaller non-coastal town,Small,Non-coastal
-4.449183084,Large non-coastal town,Large,Non-coastal
-5.351157001,Smaller non-coastal town,Small,Non-coastal
0.48103356,Smaller non-coastal town,Small,Non-coastal
1.900294948,Smaller non-coastal town,Small,Non-coastal
